year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2024,American League,League,New York Yankees,94,68,0.58,0,0,
2024,American League,League,Baltimore Orioles,91,71,0.562,0,0,
2024,American League,League,Boston Red Sox,81,81,0.5,0,0,
2024,American League,League,Tampa Bay Rays,80,82,0.494,0,0,
2024,American League,League,Toronto Blue Jays,74,88,0.457,0,0,
2024,American League,League,Cleveland Guardians,92,69,0.571,0,0,
2024,American League,League,Kansas City Royals,86,76,0.531,0,0,
2024,American League,League,Detroit Tigers,86,76,0.531,0,0,
2024,American League,League,Minnesota Twins,82,80,0.506,0,0,
2024,American League,League,Chicago White Sox,41,121,0.253,0,0,
2024,American League,League,Houston Astros,88,73,0.547,0,0,
2024,American League,League,Seattle Mariners,85,77,0.525,0,0,
2024,American League,League,Texas Rangers,78,84,0.481,0,0,
2024,American League,League,Oakland Athletics,69,93,0.426,0,0,
2024,American League,League,Los Angeles Angels,63,99,0.389,0,0,
