2000_national_leagueteam_standings,year,league,2001_national_leagueteam_standings,2002_national_leagueteam_standings,2003_national_leagueteam_standings,2004_national_leagueteam_standings,2005_national_leagueteam_standings,2006_national_league_standings2006_allstar_game_2006_nl_team_standings_2006_world_series,2007_national_league_standings2007_allstar_game_2007_nl_team_standings_2007_world_series,2008_national_league_standings2008_allstar_game_2008_nl_team_standings_2008_world_series,2009_national_leagueteam_standings,2010_national_leagueteam_standings,2011_national_leagueteam_standings,2012_national_league_standings2012_allstar_game_2012_team_standings_2012_world_series,2013_national_leagueteam_standings,2014_national_league_team_standings2014_allstar_game_team_standings_2014_world_series,2015_national_leagueteam_standings,2016_national_leagueteam_standings,2017_national_leaguefinal_team_standings,2018_national_league_team_standings2018_allstar_game_2018_team_standings_2018_world_series,2019_national_leagueteam_standings,2020_national_league_team_standings2020_allstar_game_2020_team_standings_2020_world_series,2021_national_league_team_standings2021_allstar_game_2021_team_standings_2021_world_series,2022_national_league_team_standings2022_allstar_game_2022_team_standings_2022_world_series,2023_national_league_team_standings2023_allstar_game_2023_team_standings_2023_world_series,2024_national_league_team_standings2024_allstar_game_2024_team_standings_2024_world_series
,2013,National,,,,,,,,,,,,,Atlanta Braves,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,East,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,St. Louis Cardinals,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Central,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Miami Marlins,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Philadelphia Phillies,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Pittsburgh Pirates,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Cincinnati Reds,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Milwaukee Brewers,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Chicago Cubs,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,West,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Los Angeles Dodgers,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Arizona Diamondbacks,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,San Diego Padres,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,San Francisco Giants,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Colorado Rockies,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,2013 National League Final Standings,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Rookies List,,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,East,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Washington Nationals,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Atlanta Braves,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,New York Mets,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Pittsburgh Pirates,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Milwaukee Brewers,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Cincinnati Reds,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Chicago Cubs,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,San Diego Padres,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,San Francisco Giants,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Los Angeles Dodgers,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,West,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Colorado Rockies,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Arizona Diamondbacks,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,N.L.,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,2014 National League Final Standings,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Miami Marlins,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Philadelphia Phillies,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,Central,,,,,,,,,,
,2014,National,,,,,,,,,,,,,,St. Louis Cardinals,,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,West,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Los Angeles Dodgers,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,San Francisco Giants,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Arizona Diamondbacks,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,San Diego Padres,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Colorado Rockies,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,2015 National League Final Standings,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Rookies List,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Cincinnati Reds,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Milwaukee Brewers,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Chicago Cubs,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Pittsburgh Pirates,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Atlanta Braves,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Philadelphia Phillies,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Central,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,St. Louis Cardinals,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,East,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,New York Mets,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Washington Nationals,,,,,,,,,
,2015,National,,,,,,,,,,,,,,,Miami Marlins,,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Arizona Diamondbacks,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,San Diego Padres,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,2016 National League Final Standings,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Rookies List,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Colorado Rockies,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,San Francisco Giants,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Los Angeles Dodgers,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,West,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,East,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Washington Nationals,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,New York Mets,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Miami Marlins,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Philadelphia Phillies,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Atlanta Braves,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Central,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Chicago Cubs,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,St. Louis Cardinals,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Pittsburgh Pirates,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Milwaukee Brewers,,,,,,,,
,2016,National,,,,,,,,,,,,,,,,Cincinnati Reds,,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Milwaukee Brewers,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,St. Louis Cardinals,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Pittsburgh Pirates,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Cincinnati Reds,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,West,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Los Angeles Dodgers,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Arizona Diamondbacks,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Colorado Rockies,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,San Diego Padres,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,San Francisco Giants,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,2017 National League Final Standings,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season| Next SeasonMiscellaneous:A.L. Leaderboard|Rookies List,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Chicago Cubs,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Central,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Philadelphia Phillies,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,New York Mets,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,East,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Washington Nationals,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Miami Marlins,,,,,,,
,2017,National,,,,,,,,,,,,,,,,,Atlanta Braves,,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Cincinnati Reds,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Pittsburgh Pirates,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,St. Louis Cardinals,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Chicago Cubs,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,West,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Los Angeles Dodgers,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Colorado Rockies,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Arizona Diamondbacks,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,San Francisco Giants,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,San Diego Padres,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,N.L.,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,2018 National  Standings,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,East,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Atlanta Braves,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Washington Nationals,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Philadelphia Phillies,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,New York Mets,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Miami Marlins,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Central,,,,,,
,2018,National,,,,,,,,,,,,,,,,,,Milwaukee Brewers,,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,St. Louis Cardinals,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Central,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Miami Marlins,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Philadelphia Phillies,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,San Francisco Giants,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Arizona Diamondbacks,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Los Angeles Dodgers,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,West,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Colorado Rockies,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,San Diego Padres,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,2019 National League  Standings,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season| Next SeasonMiscellaneous:A.L. Leaderboard|Rookies List,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Pittsburgh Pirates,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Cincinnati Reds,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Chicago Cubs,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Milwaukee Brewers,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,New York Mets,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Washington Nationals,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,Atlanta Braves,,,,,
,2019,National,,,,,,,,,,,,,,,,,,,East,,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Cincinnati Reds,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,St. Louis Cardinals,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Milwaukee Brewers,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Pittsburgh Pirates,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,New York Mets,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Washington Nationals,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Central,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Chicago Cubs,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Colorado Rockies,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Arizona Diamondbacks,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,N.L.,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,2020 National League  Standings,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,West,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Los Angeles Dodgers,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,San Diego Padres,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,San Francisco Giants,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,East,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Atlanta Braves,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Miami Marlins,,,,
,2020,National,,,,,,,,,,,,,,,,,,,,Philadelphia Phillies,,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,East,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Atlanta Braves,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Philadelphia Phillies,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,New York Mets,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Miami Marlins,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Washington Nationals,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Central,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Milwaukee Brewers,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Colorado Rockies,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Arizona Diamondbacks,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,N.L.,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,2021 National League  Standings,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Pittsburgh Pirates,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Chicago Cubs,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Cincinnati Reds,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,St. Louis Cardinals,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,San Diego Padres,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,Los Angeles Dodgers,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,San Francisco Giants,,,
,2021,National,,,,,,,,,,,,,,,,,,,,,West,,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,2022 National League Standings,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,N.L.,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Colorado Rockies,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Arizona Diamondbacks,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Pittsburgh Pirates,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Cincinnati Reds,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Chicago Cubs,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Milwaukee Brewers,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,East,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Atlanta Braves,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,New York Mets,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Philadelphia Phillies,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,St. Louis Cardinals,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Central,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Washington Nationals,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Miami Marlins,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,San Francisco Giants,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,San Diego Padres,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,Los Angeles Dodgers,,
,2022,National,,,,,,,,,,,,,,,,,,,,,,West,,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Milwaukee Brewers,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Central,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Washington Nationals,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,New York Mets,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Miami Marlins,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Phillies,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Atlanta Braves,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,East,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,St. Louis Cardinals,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh Pirates,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Reds,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Chicago Cubs,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,San Francisco Giants,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Colorado Rockies,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,N.L.,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,2023 National League Standings,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,West,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Dodgers,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,Arizona Diamondbacks,
,2023,National,,,,,,,,,,,,,,,,,,,,,,,San Diego Padres,
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Chicago Cubs
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,St. Louis Cardinals
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Reds
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh Pirates
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Washington Nationals
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Miami Marlins
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Central
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee Brewers
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,East
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Phillies
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Atlanta Braves
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,New York Mets
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Arizona Diamondbacks
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,San Diego Padres
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Dodgers
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,West
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,San Francisco Giants
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,Colorado Rockies
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,N.L.
,2024,National,,,,,,,,,,,,,,,,,,,,,,,,2024 National League Standings
